file	area	owner_agent	review_status	receiver_extension_status	helper_model_status	naming_status	type_boundary_status	test_quality_status	comment_status	action_taken	retained_rationale	verification	detected_patterns
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/MigrationCriteria.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/Repository.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,reflection_or_dynamic_access
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/AggregatedDependencyResolver.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/AggregatedDependencyRoot.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	unchecked_cast,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/BucketOwnershipPlanner.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,private_helper_model
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/BucketSetMath.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/ComputeWorkspaceDependencies.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	unchecked_cast
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DeclaredDependencyMetadataCollector.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	domain_receiver_extension,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DefaultBucketDependencyReducer.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DefaultOverrideCarrierPlanner.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/Dependencies.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	unchecked_cast,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependenciesGraphsBuilder.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependenciesModule.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependencyBucketPlacementEngine.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependencyGraphs.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependencyIdentity.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependencyResolutionService.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	Central resolved-coordinate model helper would change shared model surface; defer with typed dependency-notation cleanup.	Inventory/subagent audit; final gates pending.	reflection_or_dynamic_access
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/KspProcessorClassExtractor.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/MavenInstallOverrideTargets.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/MavenInstallRootArtifacts.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/MavenInstallStore.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	private_helper_model
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/OverrideTargets.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/ResolvedComponentsVisitor.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	Typed Gradle component ID rewrite is a broader graph-model cleanup; repository-name access still uses Gradle internal API.	Inventory/subagent audit; final gates pending.	private_helper_model,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/TargetReferenceFactsCollector.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/TopologicalSorter.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/TransitiveDependenciesStore.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspaceDependencyRootInputPlanner.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspacePlanBuilder.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspacePlanService.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	reflection_or_dynamic_access
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspaceRenderPlanBuilder.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspaceRenderPlanService.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	reflection_or_dynamic_access
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspaceTargetTagPlanCollector.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	private_helper_model
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspaceTargetTagPlanService.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	reflection_or_dynamic_access
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/model/ResolveDependenciesResult.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	unchecked_cast
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/model/WorkspacePlan.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	TargetTagKey VariantType typing changes serialized JSON model and should be a dedicated compatibility item.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/BucketHierarchyGraph.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,private_helper_model
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/ConfigurationParsingVariant.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,source_string_assertion,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/Variant.kt	main	parent+subagents	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	Reviewed and retained by Item41 audit.	safeWorkspace configuration fallback is behavior-sensitive AGP compatibility and needs a dedicated item before narrowing.	Inventory/subagent audit; final gates pending.	source_string_assertion,generic_model_name
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/VariantBuilder.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/VariantDependencyConfigurationRoles.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/VariantMatcher.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	unchecked_cast
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/variant/WorkspaceKspConfigurations.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	private_helper_model
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/maven/MavenRepositoryPath.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/maven/MavenRepositoryUrl.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/BazelTarget.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidExtractor.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidInstrumentationBinaryData.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	generic_model_name
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidInstrumentationBinaryDataExtractor.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	targetPackage .test suffix handling is behavior-changing for IDs containing .test and needs regression coverage.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidInstrumentationBinaryTarget.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidTarget.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidTestDataExtractor.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidTestTarget.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/AndroidUnitTestDataExtractor.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/android/ManifestValuesBuilder.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/ArtifactPinner.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	reflection_or_dynamic_access,unchecked_cast,source_string_assertion,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/BaselineLockfileFactsMerger.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	RJE lockfile field constants/model cleanup is hash-sensitive and covered by the pending lockfile JSON spec.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/ClasspathReduction.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/LocalMavenPinningWorkspace.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	source_string_assertion,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/LocalMavenResolutionPinContext.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	generic_model_name
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallArtifactsCalculator.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	reflection_or_dynamic_access,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallData.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	generic_model_name
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallLockfileArtifactKey.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallLockfileReconstructor.kt	main	parent+subagents	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	deferred_requires_behavior_change	Reviewed and deferred from preserving Item41 scope.	Manual RJE lockfile JSON handling is hash-sensitive and covered by the pending lockfile JSON spec.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallRepositoryRewrite.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenInstallWorkspaceRepositoryRewriter.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/MavenLockfileRepositoryUrlRewriter.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/PomPackagingSkipNormalizer.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/Repository.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/migrate/dependencies/RulesJvmExternalLockfile.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	type_boundary_candidate
